id,ann,start,end
,,0,560000
,,573000,2703000
,,2983000,5475000
,,5540000,7143000
,,7150000,9055000
,,9057000,11150000
,,11415000,14068000
,,14080000,16091891
1075382796179386369,,454000,454000
1075383078598729733,REF,522000,522000
1075383722323689472,,675000,675000
1075383846185635840,REF,705000,705000
1075384102478667776,,766000,766000
1075385508635783170,REF,1101000,1101000
1075386028700119040,,1225000,1225000
1075386610961784837,REF,1364000,1364000
1075387862818979841,Q,1662000,1662000
1075388232404221957,OK,1751000,1751000
1075388340415938560,Q,1776000,1776000
1075388526357819393,REF,1821000,1821000
1075388599049310214,REF,1838000,1838000
1075388965207896064,REF,1925000,1925000
1075389291436625921,Q,2003000,2003000
1075390280449298433,OK,2239000,2239000
1075390391879380992,,2265000,2265000
1075392403945807872,KO,2745000,2745000
1075392444538216448,,2755000,2755000
1075392850458787840,,2852000,2852000
1075393285089304576,REF,2955000,2955000
1075393530841972741,,3014000,3014000
1075393849923723264,,3090000,3090000
1075393878285606913,,3097000,3097000
1075393920153149442,,3107000,3107000
1075393967473221633,,3118000,3118000
1075394678919479296,,3287000,3287000
1075395094075899904,REF,3386000,3386000
1075395175348867072,,3406000,3406000
1075395612168908800,,3510000,3510000
1075395873906020354,REF,3572000,3572000
1075396170002956289,,3643000,3643000
1075396491760623617,,3720000,3720000
1075397681479069696,REF,4003000,4003000
1075397796172308480,,4031000,4031000
1075398028205457408,Q,4086000,4086000
1075398158291779585,Q,4117000,4117000
1075398331076108288,OK,4158000,4158000
1075398852298137601,,4282000,4282000
1075399244356509696,Q,4376000,4376000
1075399585915420672,,4457000,4457000
1075399760838823936,OK,4499000,4499000
1075400768822358017,,4739000,4739000
1075401889498439682,,5007000,5007000
1075402002182606848,Q,5033000,5033000
1075402138266816513,,5066000,5066000
1075402694062456833,REF,5198000,5198000
1075402782079901697,,5219000,5219000
1075402950892249088,,5260000,5260000
1075403470885265408,REF,5384000,5384000
1075403507971297280,,5392000,5392000
1075403795843170304,REF,5461000,5461000
1075404061296549888,,5524000,5524000
1075404258604924928,REF,5571000,5571000
1075404293237288960,,5580000,5580000
1075404413752221696,REF,5608000,5608000
1075404764995903489,,5692000,5692000
1075404891802271746,OK,5722000,5722000
1075404900866158592,,5725000,5725000
1075405393076076544,,5842000,5842000
1075406134029230080,,6019000,6019000
1075406955932512256,OK,6215000,6215000
1075407125227167744,,6255000,6255000
1075407321134714880,OK,6302000,6302000
1075407484356059138,REF,6341000,6341000
1075407774010490880,,6410000,6410000
1075408176550416390,,6506000,6506000
1075408408851951622,REF,6561000,6561000
1075408589211271169,REF,6604000,6604000
1075409392944721920,,6796000,6796000
1075410586127753216,,7080000,7080000
1075410627991093250,Q,7090000,7090000
1075411441983860736,REF,7284000,7284000
1075411630882742273,Q,7329000,7329000
1075412580389306374,,7556000,7556000
1075412784756744193,REF,7604000,7604000
1075412867401289731,,7624000,7624000
1075413320801361921,,7732000,7732000
1075413652314951681,REF,7811000,7811000
1075414381188521984,,7985000,7985000
1075414421688778752,REF,7995000,7995000
1075414590454935553,OK,8035000,8035000
1075414679130918912,,8056000,8056000
1075415004541800449,OK,8133000,8133000
1075415310403059712,OK,8206000,8206000
1075415402216337409,KO,8228000,8228000
1075417663780909056,OK,8767000,8767000
1075417996359856129,Q;REF,8847000,8847000
1075418726403637249,Q;REF,9021000,9021000
1075418795857059840,REF,9037000,9037000
1075419320686129154,REF,9163000,9163000
1075420043821887488,REF,9335000,9335000
1075420370272956416,,9413000,9413000
1075420879528579073,,9534000,9534000
1075421135792168960,Q,9595000,9595000
1075421541456842757,,9692000,9692000
1075422520713441280,,9925000,9925000
1075424240323698688,OK,10335000,10335000
1075424527277047809,,10404000,10404000
1075424735813623811,,10454000,10454000
1075424864654319618,REF,10484000,10484000
1075424871105130496,,10486000,10486000
1075425379685421058,,10607000,10607000
1075425731142930433,,10691000,10691000
1075425821609857026,OK,10712000,10712000
1075426475543838721,,10868000,10868000
1075426547614564355,Q,10886000,10886000
1075426592380325888,REF,10896000,10896000
1075427104660049920,OK,11018000,11018000
1075427482751430657,KO,11109000,11109000
1075427800818049024,KO,11184000,11184000
1075427906522894336,,11210000,11210000
1075428767584137216,REF,11415000,11415000
1075428791793659906,,11421000,11421000
1075428899885105153,REF,11446000,11446000
1075428985599864833,REF,11467000,11467000
1075429276680364034,,11536000,11536000
1075430587379392512,,11849000,11849000
1075430802316509187,OK,11900000,11900000
1075430815092367360,REF,11903000,11903000
1075431012778299392,,11950000,11950000
1075431329808949249,OK,12026000,12026000
1075431651822456832,,12103000,12103000
1075434080257359872,REF,12681000,12681000
1075434763056492544,,12844000,12844000
1075434892949946368,OK,12875000,12875000
1075435267627106304,REF,12965000,12965000
1075435283284459521,,12968000,12968000
1075435885288669184,KO;OK,13112000,13112000
1075437117831036929,OK,13406000,13406000
1075437123921166338,Q,13407000,13407000
1075438278071984128,KO,13682000,13682000
1075438624345337856,OK,13765000,13765000
1075441003811753986,REF,14332000,14332000
1075442091495485442,KO,14592000,14592000
1075443014292701184,OK,14812000,14812000
1075443264520638465,KO,14871000,14871000
1075443692964581376,REF,14973000,14973000
1075447766871089152,,15945000,15945000